bank,time,ProfitAfterTax,LoanNadvance,POLA,Off balance sheet item,POB,Total earning assets,POOEA,TOTAL deposit,POD,Fixed assets,POF,Labor,POL
5,6,2026,59548,0.134379,23897,0.108507,4369,0.043183,84373,0.090041,2458,0.109439,1378,0.878084
6,6,1777,76573,0.078,44183,0.113,1205,0.0117,86568,0.081,1205,0.3062,1810,0.9707
7,6,1524,52800,0.127178,4269,1.12134,4269,0.048108,73348,0.091564,1593,0.104206,1283,0.755261
8,6,3438,153583,0.113359,233897,0.023126,21478,0.083596,201907,0.087555,6407,0.054316,2710,1.084502
9,6,6078,134836,0.127807,82126,0.072876,3513,0.015901,177519,0.097077,7795,0.039128,2118,0.59915
10,6,5887,148664,0.10708,67094,0.075595,15918,0.07033,184896,0.086097,7957,0.050396,3445,0.907112
11,6,2568,102910,0.09,66217,0.054,2980,0.019,117102,0.845,6897,0.063941,1498,1.333111
12,6,1346,84110,0.100987,42304,0.084531,3632,0.027502,110464,0.077401,2383,0.126731,2574,0.742036
13,6,4973,474016,0.008145,113715,0.097076,3039,0.004598,473141,0.065467,15475,0.02811,12980,0.573575
14,6,4360,125715,0.004,27336,0.098,137925,0.796513072,140980,0.086,2517,0.086,2387,0.7
15,6,2024,181906,0.035969127,30470,0.214736,9770,0.771661,102104,0.09506,2653,0.061817,1802,0.840178
16,6,1913,145002,0.01331,60119,0.053677,2024,0.010351,165391,0.091764,3183,0.05498,2236,0.807245
17,6,2383,85707,0.024420409,45433,0.053441331,2764,0.021501027,96481,0.109638167,2955,0.047715736,2173,0.670041417
1,7,4329,124300,0.071,37713,0.23,13842,0.067,146366,0.063,3553,0.3,6886,0.423
2,7,2206,124423,0.055,47279,0.2,13887,0.064,166762,0.041,4141,0.329,5556,0.522
3,7,3608,116621,0.063,46342,0.116,6543,0.038,118727,0.074,3444,0.248,2535,1.123
4,7,1188,117060,0.097258,168474,0.033548,2395,0.014216,140475,0.081046,3198,0.08349,1962,0.910805
5,7,2603,77141,0.10359,30802,0.100221,4796,0.041238,96065,0.082038,2489,0.122539,1586,0.943253
6,7,3203,90499,0.076,49787,0.0856,2745,0.0225,100295,0.0686,1399,0.3124,1861,0.9742
7,7,1798,69818,0.104314,6077,0.693763,6077,0.054756,90503,0.080472,1654,0.126965,1350,0.845185
8,7,4370,147367,0.119959,244758,0.023493,23373,0.086818,204838,0.076026,6613,0.060487,2867,1.143704
9,7,6760,147070,0.109125,92184,0.068634,3473,0.014678,189472,0.084704,7913,0.044989,2221,0.612787
10,7,6835,174146,0.082862,144554,0.04489,17488,0.06572,211072,0.068365,8510,0.066392,3679,0.975537
11,7,2107,118291,0.079,61593,0.069,3663,0.021,116792,0.079,7087,0.060674,1559,1.555484
12,7,1545,102282,0.082781,47824,0.092485,3371,0.021562,129746,0.065258,2929,0.137248,2527,0.979422
